episode,score,epsilon,q_states
1,0,0.99500,15
2,1,0.99003,24
3,0,0.98507,29
4,0,0.98015,31
5,0,0.97525,34
6,0,0.97037,44
7,0,0.96552,48
8,0,0.96069,51
9,0,0.95589,52
10,0,0.95111,57
11,0,0.94635,57
12,0,0.94162,60
13,0,0.93691,64
14,0,0.93223,64
15,0,0.92757,65
16,0,0.92293,65
17,0,0.91832,67
18,1,0.91372,67
19,0,0.90916,68
20,0,0.90461,68
21,1,0.90009,68
22,0,0.89559,68
23,0,0.89111,70
24,2,0.88665,70
25,1,0.88222,70
26,0,0.87781,70
27,1,0.87342,73
28,0,0.86905,73
29,2,0.86471,76
30,0,0.86038,76
31,1,0.85608,76
32,1,0.85180,76
33,0,0.84754,76
34,1,0.84331,76
35,0,0.83909,76
36,2,0.83489,77
37,0,0.83072,77
38,1,0.82657,77
39,1,0.82243,78
40,1,0.81832,78
41,1,0.81423,78
42,0,0.81016,78
43,0,0.80611,78
44,2,0.80208,80
45,0,0.79807,81
46,0,0.79408,81
47,1,0.79010,82
48,1,0.78615,82
49,0,0.78222,82
50,2,0.77831,84
51,0,0.77442,86
52,1,0.77055,86
53,0,0.76670,87
54,2,0.76286,89
55,0,0.75905,92
56,1,0.75525,92
57,1,0.75148,93
58,2,0.74772,96
59,2,0.74398,97
60,4,0.74026,101
61,1,0.73656,101
62,0,0.73288,101
63,1,0.72921,102
64,1,0.72557,105
65,0,0.72194,106
66,2,0.71833,106
67,2,0.71474,108
68,1,0.71116,108
69,0,0.70761,108
70,2,0.70407,108
71,0,0.70055,108
72,2,0.69705,108
73,0,0.69356,109
74,3,0.69009,109
75,0,0.68664,109
76,2,0.68321,112
77,3,0.67979,113
78,1,0.67639,113
79,2,0.67301,114
80,2,0.66965,117
81,1,0.66630,117
82,1,0.66297,117
83,3,0.65965,119
84,2,0.65635,120
85,2,0.65307,120
86,2,0.64981,121
87,2,0.64656,122
88,1,0.64333,122
89,2,0.64011,122
90,2,0.63691,124
91,1,0.63372,124
92,2,0.63056,124
93,1,0.62740,124
94,2,0.62427,124
95,2,0.62114,124
96,1,0.61804,124
97,1,0.61495,125
98,1,0.61187,125
99,1,0.60881,125
100,2,0.60577,125
101,2,0.60274,126
102,1,0.59973,127
103,0,0.59673,127
104,0,0.59375,127
105,0,0.59078,127
106,2,0.58782,127
107,1,0.58488,127
108,1,0.58196,129
109,0,0.57905,129
110,2,0.57615,129
111,1,0.57327,130
112,2,0.57041,130
113,0,0.56756,132
114,2,0.56472,133
115,1,0.56189,133
116,2,0.55908,133
117,2,0.55629,134
118,1,0.55351,134
119,2,0.55074,134
120,4,0.54799,137
121,1,0.54525,137
122,3,0.54252,139
123,0,0.53981,139
124,1,0.53711,139
125,2,0.53442,140
126,2,0.53175,140
127,2,0.52909,140
128,0,0.52645,140
129,2,0.52381,142
130,2,0.52120,144
131,2,0.51859,144
132,0,0.51600,144
133,3,0.51342,145
134,1,0.51085,145
135,2,0.50830,147
136,2,0.50575,147
137,1,0.50322,148
138,1,0.50071,150
139,0,0.49821,150
140,4,0.49571,150
141,1,0.49324,150
142,2,0.49077,150
143,5,0.48832,153
144,0,0.48587,153
145,2,0.48344,154
146,4,0.48103,154
147,1,0.47862,154
148,2,0.47623,155
149,3,0.47385,155
150,1,0.47148,155
151,0,0.46912,155
152,3,0.46678,155
153,3,0.46444,155
154,1,0.46212,155
155,0,0.45981,155
156,2,0.45751,155
157,2,0.45522,155
158,4,0.45295,155
159,2,0.45068,155
160,1,0.44843,155
161,6,0.44619,155
162,2,0.44396,157
163,1,0.44174,157
164,1,0.43953,157
165,2,0.43733,158
166,1,0.43514,158
167,2,0.43297,158
168,2,0.43080,158
169,2,0.42865,158
170,1,0.42650,158
171,5,0.42437,159
172,3,0.42225,159
173,1,0.42014,159
174,2,0.41804,159
175,3,0.41595,160
176,4,0.41387,160
177,2,0.41180,160
178,3,0.40974,160
179,2,0.40769,160
180,3,0.40565,161
181,0,0.40362,162
182,2,0.40161,162
183,2,0.39960,162
184,2,0.39760,162
185,6,0.39561,163
186,3,0.39363,163
187,2,0.39167,163
188,3,0.38971,163
189,1,0.38776,163
190,2,0.38582,164
191,0,0.38389,164
192,1,0.38197,164
193,0,0.38006,164
194,1,0.37816,164
195,2,0.37627,164
196,1,0.37439,164
197,8,0.37252,167
198,1,0.37066,167
199,1,0.36880,167
